synthetic_apprentice_id,cohort,attendance_pct,days_since_last_mentoring,last_mentoring_date,days_since_last_progress_review,otj_deficit_hours,fs_maths_status,fs_english_status,lldd_flag,days_since_onefile_update,assignments_late_count,assignments_outstanding_count
SYN-001,MLE_01,100.0,10,2026-07-31,40,55.0,achieved,achieved,False,11,0,0
SYN-002,DA_09,96.0,10,2026-07-31,13,-5.0,achieved,in_progress,True,17,0,0
SYN-003,DT_10,78.0,35,2026-07-06,40,18.0,achieved,not_required,False,16,1,1
SYN-004,DA_01,92.0,150,2026-03-13,160,2.0,achieved,not_required,False,21,0,0
SYN-005,DA_08,45.0,100,2026-05-02,120,60.0,in_progress,achieved,False,18,5,3
SYN-006,DT_05,90.5,41,2026-06-30,84,26.8,achieved,not_required,True,6,1,1
SYN-007,DA_06,64.9,12,2026-07-29,93,30.2,achieved,in_progress,True,24,3,2
SYN-008,DA_06,89.2,27,2026-07-14,57,16.6,in_progress,achieved,False,15,0,0
SYN-009,DA_08,77.2,36,2026-07-05,43,-9.1,achieved,not_required,False,8,1,0
SYN-010,AI_03,95.9,64,2026-06-07,46,-18.2,in_progress,not_required,True,17,0,0
SYN-011,AI_03,78.3,31,2026-07-10,69,11.2,in_progress,achieved,False,15,1,0
SYN-012,DA_02,81.8,8,2026-08-02,49,12.6,not_required,not_required,False,12,1,2
SYN-013,AI_04,91.2,14,2026-07-27,60,-12.6,not_required,achieved,True,6,0,0
SYN-014,DT_03,69.8,53,2026-06-18,108,35.7,achieved,in_progress,False,34,0,0
SYN-015,DT_05,90.9,45,2026-06-26,43,35.8,in_progress,achieved,False,16,0,1
SYN-016,AI_02,71.3,16,2026-07-25,62,39.1,in_progress,in_progress,False,44,2,2
SYN-017,DT_06,92.3,27,2026-07-14,10,21.5,not_required,achieved,False,12,0,0
SYN-018,AI_02,79.5,3,2026-08-07,44,20.2,in_progress,achieved,False,17,0,0
SYN-019,DA_05,70.7,11,2026-07-30,65,39.6,achieved,not_required,True,28,2,2
SYN-020,AI_01,89.5,4,2026-08-06,24,-4.7,achieved,achieved,False,11,1,0
SYN-021,AI_04,60.1,14,2026-07-27,80,1.8,not_required,achieved,False,23,0,2
SYN-022,DT_01,65.2,32,2026-07-09,60,18.4,in_progress,in_progress,False,12,0,1
SYN-023,AI_02,96.2,13,2026-07-28,7,8.7,in_progress,in_progress,False,8,0,1
SYN-024,DA_02,79.7,9,2026-08-01,31,1.3,achieved,not_required,False,11,2,0
SYN-025,MLE_01,98.1,7,2026-08-03,58,-3.0,in_progress,not_required,False,0,0,1
SYN-026,MLE_02,89.6,6,2026-08-04,57,-4.9,in_progress,not_required,False,8,3,0
SYN-027,AI_02,85.9,30,2026-07-11,26,33.0,in_progress,not_required,False,12,2,0
SYN-028,AI_05,80.4,18,2026-07-23,53,7.8,achieved,achieved,True,16,1,0
SYN-029,DT_09,87.1,23,2026-07-18,70,11.1,in_progress,not_required,True,19,2,1
SYN-030,MLE_01,98.2,4,2026-08-06,65,2.1,in_progress,achieved,True,2,1,0
SYN-031,DA_02,73.1,18,2026-07-23,48,12.5,achieved,not_required,True,18,0,0
SYN-032,AI_04,100.0,1,2026-08-09,40,9.7,achieved,not_required,False,2,2,1
SYN-033,DA_02,100.0,40,2026-07-01,37,-13.3,not_required,in_progress,False,9,0,2
